authfull,inst_name,cntry,np6023,firstyr,lastyr,rank (ns),nc9623 (ns),h23 (ns),hm23 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6023 cited9623 (ns),self%,rank,nc9623,h23,hm23,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6023 cited9623,np6023_rw,nc9623_to_rw,nc9623_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Tiwari, G. N.",BERS Public School (BPS),ind,511,1974,2024,"32,718","14,696",67,45.9667,22,18,130,"2,105",401,"11,582",3.8348,"7,409",1.9835,413,15.19%,"29,590","17,328",74,50.0000,22,24,130,"2,417",401,"13,599",3.9067,"7,864",2.2035,428,0,0,20,Energy,0.6243,Chemical Engineering,0.1096,Enabling & Strategic Technologies,0.7495,345,384,"313,936"
"Biswas, Kanishka",Jawaharlal Nehru Centre for Advanced Scientific Research,ind,219,2006,2024,"32,750","13,752",54,24.9246,3,66,25,"4,869",149,"10,507",3.8345,"9,095",1.5120,196,15.96%,"30,675","16,364",60,26.6412,3,77,25,"5,554",149,"12,405",3.8963,"9,679",1.6907,197,0,0,3,Nanoscience & Nanotechnology,0.2055,General Chemistry,0.1370,Chemistry,0.4201,366,389,"135,958"
"Chhabra, R. P.",Indian Institute of Technology Ropar,ind,398,1978,2024,"32,859","7,650",43,28.9500,34,467,97,"2,340",322,"5,563",3.8336,"4,702",1.6270,341,30.51%,"22,203","11,008",53,35.9833,34,617,97,"2,832",322,"7,849",3.9859,"5,087",2.1639,358,0,0,1,Chemical Engineering,0.3844,Mechanical Engineering & Transports,0.3191,Engineering,0.8090,88,122,"79,314"
"D’Souza, S. F.",Bhabha Atomic Research Centre,ind,196,1977,2018,"32,865","8,078",47,26.7429,7,766,28,"1,078",156,"6,955",3.8335,"7,093",1.1389,189,12.04%,"30,985","9,184",52,29.9706,7,837,28,"1,249",156,"7,877",3.8933,"7,444",1.2337,191,0,0,17,Biotechnology,0.3265,Analytical Chemistry,0.1378,Enabling & Strategic Technologies,0.4490,78,83,"62,673"
"Banerjee, Rahul",Indian Institute of Science Education and Research Kolkata,ind,191,2003,2024,"33,113","26,123",77,28.9935,4,5,16,"4,968",137,"21,451",3.8314,"17,328",1.5076,184,4.73%,"37,874","27,421",80,29.9558,4,5,16,"5,147",137,"22,314",3.8346,"17,878",1.5338,184,0,0,3,General Chemistry,0.2670,Organic Chemistry,0.2618,Chemistry,0.8168,150,134,"53,171"
"Chakraborty, Suman",Indian Institute of Technology Kharagpur,ind,595,1999,2024,"33,205","8,387",41,29.7262,19,540,64,"1,454",479,"7,076",3.8304,"5,844",1.4351,514,31.42%,"18,835","12,230",56,37.5179,19,805,64,"2,034",479,"10,517",4.0297,"6,634",1.8435,534,0,0,5,Fluids & Plasmas,0.2453,Mechanical Engineering & Transports,0.1438,Physics & Astronomy,0.4585,146,276,"52,450"
"Malik, Anushree",Indian Institute of Technology Delhi,ind,186,1999,2024,"33,295","7,274",42,22.9992,2,"1,333",18,"1,805",90,"4,492",3.8296,"6,391",1.1382,172,11.20%,"35,020","8,191",45,24.9254,2,"1,346",18,"1,863",90,"4,885",3.8582,"6,626",1.2362,177,0,0,7,Biotechnology,0.2404,Environmental Sciences,0.2131,Enabling & Strategic Technologies,0.3661,91,85,"62,673"
"Sood, A. K.",Indian Institute of Science,ind,459,1979,2024,"33,411","20,737",57,27.8974,7,145,40,896,278,"10,821",3.8286,"18,528",1.1192,420,8.26%,"34,139","22,603",62,30.1518,7,159,40,959,278,"11,774",3.8655,"19,507",1.1587,425,0,0,9,Applied Physics,0.2779,Fluids & Plasmas,0.1685,Physics & Astronomy,0.7943,877,830,"304,738"
"Polshettiwar, Vivek","Tata Institute of Fundamental Research, Mumbai",ind,133,2003,2024,"33,678","12,356",54,26.4706,2,31,49,"8,251",106,"11,449",3.8260,"9,291",1.3299,125,10.77%,"33,787","13,848",56,27.7206,2,40,49,"9,139",106,"12,772",3.8685,"9,666",1.4327,127,0,0,3,Organic Chemistry,0.5076,Nanoscience & Nanotechnology,0.1742,Chemistry,0.7045,682,642,"170,049"
"Jain, Mukesh",Jawaharlal Nehru University,ind,126,2004,2024,"33,986","9,987",47,20.0671,4,266,29,"3,742",85,"8,768",3.8232,"8,557",1.1671,120,9.41%,"35,592","11,024",50,21.2671,4,284,29,"4,065",85,"9,504",3.8534,"8,801",1.2526,120,0,0,9,Plant Biology & Botany,0.6270,Developmental Biology,0.0714,Biology,0.6984,430,409,"174,582"
"Sakthivel, R.",Bharathiar University,ind,544,1999,2024,"34,165","11,683",54,33.9167,3,39,184,"5,205",330,"7,710",3.8218,"7,354",1.5887,468,11.91%,"32,512","13,262",60,37.5833,3,43,184,"5,952",330,"8,845",3.8796,"8,051",1.6472,478,0,0,10,Industrial Engineering & Automation,0.3125,Artificial Intelligence & Image Processing,0.1324,Engineering,0.3566,265,275,"113,906"
"Doherty, R. D.",Indian Institute of Technology Bombay,ind,171,1971,2022,"34,170","8,380",43,22.9333,12,447,39,"3,076",115,"6,254",3.8218,"6,997",1.1977,145,9.38%,"38,467","9,247",44,23.3679,12,453,39,"3,244",115,"6,722",3.8302,"7,479",1.2364,148,0,0,1,Materials,0.9118,Mechanical Engineering & Transports,0.0176,Enabling & Strategic Technologies,0.9529,501,424,"299,561"
"Gupta, Pushpendra K.",Ch. Charan Singh University,ind,257,1968,2024,"34,370","8,325",44,19.5792,26,311,101,"4,902",231,"7,934",3.8201,"6,725",1.2379,223,14.15%,"33,669","9,697",49,20.9720,26,331,101,"5,364",231,"9,157",3.8695,"7,178",1.3509,229,0,0,4,Plant Biology & Botany,0.6953,Biotechnology,0.0430,Biology,0.8398,405,418,"174,582"
"Kakkar, V. V.",Manipal Academy of Higher Education,ind,610,1967,2021,"34,487","11,628",49,24.9825,63,240,129,"2,396",381,"6,628",3.8190,"9,812",1.1851,463,7.52%,"38,812","12,573",50,25.9901,63,251,129,"2,472",381,"6,946",3.8278,"10,368",1.2127,471,0,0,6,Cardiovascular System & Hematology,0.3115,General & Internal Medicine,0.1525,Clinical Medicine,0.7721,"1,525","1,378","224,060"
"Reddy, Benjaram M.","Birla Institute of Technology and Science, Pilani",ind,308,1984,2024,"34,554","13,019",65,30.9619,2,17,129,"6,383",238,"10,557",3.8184,"9,949",1.3086,291,14.74%,"30,386","15,269",71,34.9230,2,23,129,"7,484",238,"12,412",3.8991,"10,423",1.4649,295,0,0,6,Physical Chemistry,0.4058,Organic Chemistry,0.2013,Chemistry,0.7468,112,124,"40,704"
"Balasubramanian, V.",Annamalai University,ind,464,1997,2024,"34,994","11,892",57,35.4333,1,159,39,886,265,"7,719",3.8145,"7,995",1.4874,403,9.93%,"37,017","13,203",61,36.6833,1,168,39,995,265,"8,398",3.8418,"8,424",1.5673,418,1,3,28,Materials,0.5918,Mechanical Engineering & Transports,0.1037,Enabling & Strategic Technologies,0.6263,480,435,"299,561"
"Prabaharan, M.",Hindustan Institute of Technology and Science,ind,132,2000,2024,"35,007","8,632",39,19.6421,6,758,50,"3,676",108,"4,810",3.8144,"7,611",1.1341,112,6.68%,"39,233","9,250",40,20.0587,6,770,50,"3,986",108,"5,190",3.8247,"7,908",1.1697,114,0,0,8,Polymers,0.2615,Materials,0.1154,Chemistry,0.5000,376,314,"116,445"
"Sahrawat, K. L.","University of Agricultural Sciences, Dharwad",ind,239,1975,2017,"35,336","5,556",36,26.0210,65,"1,497",116,"2,165",156,"3,482",3.8116,"4,760",1.1672,218,19.23%,"30,395","6,879",43,29.1984,65,"1,627",116,"2,611",156,"4,198",3.8990,"5,238",1.3133,224,0,0,1,Agronomy & Agriculture,0.7269,Plant Biology & Botany,0.1303,"Agriculture, Fisheries & Forestry",0.7731,132,150,"81,496"
"Mukhopadhyay, Swati",The University of Burdwan,ind,137,2005,2024,"35,652","3,994",36,27.2500,23,"1,458",62,"2,862",104,"3,177",3.8088,"3,007",1.3282,117,11.81%,"36,464","4,529",41,27.5833,23,"1,577",62,"3,140",104,"3,503",3.8464,"3,158",1.4341,120,0,0,9,Mechanical Engineering & Transports,0.5036,General Physics,0.1168,Engineering,0.5693,256,225,"143,311"
"Chakrabarti, Soumen",Indian Institute of Technology Bombay,ind,139,1993,2024,"36,175","7,101",38,18.1083,16,924,49,"3,779",107,"5,233",3.8046,"6,098",1.1645,121,4.11%,"42,287","7,405",38,18.6083,16,929,49,"3,885",107,"5,465",3.8024,"6,270",1.1810,124,0,0,1,Artificial Intelligence & Image Processing,0.5766,Information Systems,0.2117,Information & Communication Technologies,0.9562,849,748,"399,064"
"Rathore, Anurag S.",Indian Institute of Technology Delhi,ind,480,1995,2024,"36,274","5,985",37,24.2833,24,610,178,"3,226",421,"5,661",3.8037,"4,333",1.3813,366,25.51%,"28,076","8,035",42,28.4167,24,777,178,"4,068",421,"7,581",3.9217,"4,786",1.6789,400,0,0,1,Biotechnology,0.3424,Analytical Chemistry,0.2773,Enabling & Strategic Technologies,0.4181,73,93,"62,673"
"Ghosh, Goutam",University of Petroleum and Energy Studies,ind,118,1984,2018,"36,300","4,606",39,25.5840,24,"1,094",66,"3,083",71,"3,203",3.8035,"3,870",1.1902,109,9.33%,"39,146","5,080",41,26.9768,24,"1,138",66,"3,277",71,"3,421",3.8253,"4,074",1.2469,109,0,0,0,Materials,0.7542,Applied Physics,0.1949,Enabling & Strategic Technologies,0.7542,515,461,"299,561"
"Karanth, K. Ullas",Centre for Wildlife Studies,ind,103,1990,2022,"36,631","8,879",41,17.6951,5,499,32,"3,744",72,"6,985",3.8007,"5,659",1.5690,98,10.87%,"38,645","9,962",44,18.3380,5,522,32,"4,085",72,"7,613",3.8289,"5,923",1.6819,100,0,0,0,Ecology,0.5248,Zoology,0.0396,Biology,0.8713,682,649,"69,645"
"Lee, Ju Seog",The University of Texas MD Anderson Cancer Center,ind,258,1999,2024,"36,668","23,699",72,18.3306,2,135,15,"2,451",60,"4,384",3.8004,"20,773",1.1409,245,10.30%,"37,525","26,419",77,19.1129,2,144,15,"2,850",60,"4,973",3.8376,"22,501",1.1741,245,0,0,80,Oncology & Carcinogenesis,0.5233,Gastroenterology & Hepatology,0.1628,Clinical Medicine,0.8178,"1,600","1,640","334,837"
"Natarajan, Srinivasan",Indian Institute of Science,ind,317,1992,2024,"36,805","12,520",56,31.9627,14,168,45,"1,282",205,"5,294",3.7994,"9,302",1.3459,297,16.65%,"32,576","15,021",61,36.2818,14,203,45,"1,559",205,"6,364",3.8792,"9,896",1.5179,302,0,0,5,Inorganic & Nuclear Chemistry,0.5538,Organic Chemistry,0.1013,Chemistry,0.7943,208,211,"75,463"
"Rajasekaran, Shanmuganathan",Ganga Hospital,ind,502,1987,2024,"37,147","6,778",38,22.9819,16,564,138,"3,441",401,"5,032",3.7963,"5,613",1.2076,364,12.70%,"37,298","7,764",42,23.8925,16,646,138,"3,796",401,"5,494",3.8396,"6,054",1.2825,372,0,0,4,Orthopedics,0.7709,Neurology & Neurosurgery,0.0319,Clinical Medicine,0.9741,224,234,"83,175"
"Ramamritham, Krithi",Indian Institute of Technology Bombay,ind,359,1980,2022,"37,351","7,147",45,26.8929,19,540,53,"1,553",241,"5,141",3.7947,"5,709",1.2519,272,8.30%,"40,190","7,794",47,28.8405,19,564,53,"1,628",241,"5,551",3.8176,"6,005",1.2979,288,0,0,0,Information Systems,0.2275,Computer Hardware & Architecture,0.1882,Information & Communication Technologies,0.8539,87,92,"18,561"
"Maulik, Ujjwal",Jadavpur University,ind,337,1998,2024,"37,516","10,047",43,23.9012,5,195,36,"3,414",207,"7,084",3.7933,"8,207",1.2242,256,14.85%,"36,183","11,799",47,26.6940,5,204,36,"3,846",207,"8,192",3.8488,"8,791",1.3422,278,0,0,10,Artificial Intelligence & Image Processing,0.4195,Bioinformatics,0.0973,Information & Communication Technologies,0.6353,727,778,"399,064"
"Azmi, M. D.",Aligarh Muslim University,ind,503,2004,2023,"37,646","24,879",79,19.0629,15,108,60,"2,226",107,"3,881",3.7922,"17,623",1.4117,456,38.69%,"29,312","40,578",108,19.9953,15,131,60,"2,565",107,"4,307",3.9092,"21,332",1.9022,465,6,664,63,Nuclear & Particle Physics,0.5141,Oncology & Carcinogenesis,0.1827,Physics & Astronomy,0.6104,497,553,"151,105"
"Chattopadhyay, Amitabha",Centre for Cellular and Molecular Biology india,ind,301,1984,2024,"37,672","7,493",44,29.0833,6,322,41,"1,597",274,"6,860",3.7920,"5,562",1.3472,275,35.03%,"22,194","11,533",59,37.4292,6,414,41,"2,191",274,"10,679",3.9859,"5,986",1.9267,288,0,0,2,Biophysics,0.3223,Biochemistry & Molecular Biology,0.2193,Biomedical Research,0.6578,41,66,"19,888"
"Bhattacharyya, Krishna G.",Assam Don Bosco University,ind,159,1989,2024,"37,811","9,592",45,26.8095,3,89,31,"4,261",130,"8,869",3.7910,"8,421",1.1391,134,2.58%,"43,991","9,846",46,27.9524,3,89,31,"4,361",130,"9,079",3.7904,"8,530",1.1543,138,6,347,21,Environmental Sciences,0.2911,Chemical Engineering,0.1456,Earth & Environmental Sciences,0.3418,266,216,"115,291"
"Ghose, Tarun K.",Birla Institute of Scientific Research,ind,72,1961,2003,"38,564","5,946",20,12.7500,6,"4,710",32,"5,319",60,"5,768",3.7851,"5,706",1.0421,54,0.44%,"46,904","5,972",20,12.7500,6,"4,711",32,"5,327",60,"5,788",3.7712,"5,719",1.0442,54,0,0,3,Biotechnology,0.5556,Energy,0.0972,Enabling & Strategic Technologies,0.8056,127,103,"62,673"
"Aziz, A.",Navodaya Institute of Technology,ind,139,1975,2021,"38,763","5,487",33,23.9500,27,956,83,"2,426",127,"5,229",3.7832,"3,994",1.3738,111,7.69%,"40,982","5,944",36,25.4500,27,978,83,"2,598",127,"5,647",3.8118,"4,216",1.4099,114,0,0,11,Mechanical Engineering & Transports,0.5435,Energy,0.1304,Engineering,0.6522,287,246,"143,311"
"Chaudhuri, Bidyut Baran",Techno India Group,ind,326,1978,2023,"38,953","8,997",44,26.4667,21,200,70,"2,040",253,"8,240",3.7817,"7,406",1.2148,254,10.49%,"41,913","10,051",45,28.1500,21,211,70,"2,181",253,"9,060",3.8050,"7,916",1.2697,267,0,0,7,Artificial Intelligence & Image Processing,0.7015,Networking & Telecommunications,0.1108,Information & Communication Technologies,0.8862,838,804,"399,064"
"Bijwe, Jayashree",Indian Institute of Technology Delhi,ind,250,1986,2024,"39,284","7,376",47,28.4845,2,272,47,"1,988",161,"5,150",3.7792,"4,818",1.5309,230,16.37%,"35,710","8,820",50,32.7179,2,326,47,"2,336",161,"6,062",3.8525,"5,115",1.7243,239,0,0,18,Mechanical Engineering & Transports,0.5880,Materials,0.1880,Engineering,0.6120,247,250,"143,311"
"Sharma, Surendra",Jamia Hamdard,ind,354,1986,2024,"39,285","10,532",54,23.7022,5,75,133,"5,251",205,"6,151",3.7792,"9,346",1.1269,316,10.56%,"41,504","11,775",57,24.8441,5,82,133,"5,684",205,"6,682",3.8080,"10,008",1.1766,323,1,294,25,Microbiology,0.2614,Respiratory System,0.2216,Clinical Medicine,0.6392,"1,037",993,"204,759"
"Anandan, Sambandam",National Institute of Technology Tiruchirappalli,ind,371,1999,2024,"39,367","9,875",51,28.4540,4,125,57,"2,330",222,"6,222",3.7784,"9,098",1.0854,340,9.73%,"41,286","10,940",53,29.9897,4,142,57,"2,551",222,"6,856",3.8098,"9,643",1.1345,342,0,0,12,Organic Chemistry,0.1752,Energy,0.1294,Chemistry,0.3315,826,745,"170,049"
"Kannan, Ravindran",Microsoft Research,ind,119,1981,2023,"39,385","7,040",42,23.7250,14,582,44,"2,372",75,"4,040",3.7783,"5,743",1.2258,105,6.30%,"44,057","7,513",44,24.8917,14,583,44,"2,458",75,"4,263",3.7900,"5,919",1.2693,111,0,0,1,Computation Theory & Mathematics,0.6218,Artificial Intelligence & Image Processing,0.1933,Information & Communication Technologies,0.8571,118,107,"20,102"
"Mohan, Dinesh",Jawaharlal Nehru University,ind,171,1994,2024,"39,391","33,999",74,26.5552,0,0,33,"16,942",81,"21,825",3.7782,"28,861",1.1780,155,5.74%,"45,688","36,071",75,27.6223,0,0,33,"17,406",81,"22,756",3.7790,"29,648",1.2166,161,0,0,27,Environmental Sciences,0.2353,Chemical Engineering,0.1529,Earth & Environmental Sciences,0.3059,280,223,"115,291"
"Sen, Ramkrishna",Indian Institute of Technology Kharagpur,ind,176,1997,2024,"39,570","7,994",46,24.8782,5,593,12,"1,029",111,"5,884",3.7769,"6,733",1.1873,169,10.47%,"39,982","8,929",50,26.9524,5,637,12,"1,134",111,"6,556",3.8193,"7,051",1.2663,169,0,0,4,Biotechnology,0.3068,Environmental Sciences,0.0966,Enabling & Strategic Technologies,0.4602,108,105,"62,673"
"Stephan, Arul Manuel",Central Electrochemical Research Institute India,ind,117,1996,2024,"39,683","6,138",40,16.9119,2,"1,073",22,"2,902",86,"4,957",3.7761,"4,980",1.2325,110,7.77%,"43,151","6,655",43,17.3302,2,"1,102",22,"3,082",86,"5,394",3.7962,"5,158",1.2902,111,0,0,3,Energy,0.3621,Nanoscience & Nanotechnology,0.1379,Enabling & Strategic Technologies,0.6638,539,477,"313,936"
"Pal, Tarasankar","Kalinga Institute of Industrial Technology, Bhubaneswar",ind,340,1983,2024,"39,917","20,542",68,28.7810,5,34,44,702,316,"19,967",3.7745,"17,360",1.1833,312,7.93%,"37,651","22,312",71,31.7929,5,45,44,891,316,"21,666",3.8366,"17,840",1.2507,319,1,277,30,Chemical Physics,0.2176,Organic Chemistry,0.1294,Chemistry,0.5206,857,837,"106,831"
"Mishra, Barada Kanta",Indian Institute of Technology Goa,ind,325,1990,2024,"39,950","8,813",45,26.3329,7,331,27,"1,363",228,"6,528",3.7741,"7,737",1.1391,283,10.95%,"40,560","9,897",49,28.9036,7,345,27,"1,453",228,"7,303",3.8148,"8,295",1.1931,289,0,0,4,Mining & Metallurgy,0.2831,Chemical Engineering,0.1662,Engineering,0.4892,10,8,"34,322"
"Raj, Baldev",Indira Gandhi Centre for Atomic Research,ind,731,1982,2023,"40,179","14,461",60,29.9782,17,71,95,911,588,"11,545",3.7723,"12,549",1.1524,587,17.46%,"36,593","17,519",65,33.9500,17,78,95,"1,128",588,"13,934",3.8453,"13,921",1.2585,626,0,0,7,Materials,0.3926,Energy,0.1295,Enabling & Strategic Technologies,0.5716,474,511,"299,561"
"Sushil, Sushil",Indian Institute of Technology Delhi,ind,217,1983,2024,"40,212","4,386",33,24.9167,79,"1,826",95,"1,856",182,"3,374",3.7721,"2,589",1.6941,180,15.78%,"35,849","5,208",38,26.8333,79,"2,206",95,"2,246",182,"4,070",3.8514,"2,776",1.8761,190,0,0,1,Business & Management,0.3860,Operations Research,0.0744,Economics & Business,0.7163,325,416,"57,191"
"Nayak, Sanjay K.",Ravenshaw University,ind,491,1999,2024,"40,353","15,245",59,33.8607,2,93,19,541,405,"10,545",3.7711,"12,980",1.1745,457,6.59%,"46,906","16,321",60,34.4440,2,93,19,554,405,"11,391",3.7711,"13,400",1.2180,464,3,38,6,Polymers,0.5378,Materials,0.1718,Chemistry,0.6258,443,361,"116,445"
"Vaidyanathan, Sundarapandian",Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,ind,630,1999,2024,"40,406","5,531",37,21.9567,185,910,376,"2,810",487,"3,880",3.7706,"3,032",1.8242,524,78.51%,504,"25,742",107,79.7222,185,"8,813",376,"17,769",487,"22,196",4.7749,"3,893",6.6124,560,0,0,5,Artificial Intelligence & Image Processing,0.2089,Industrial Engineering & Automation,0.1201,Information & Communication Technologies,0.4243,17,843,"399,064"
"Nanda, Karuna Kar",Institute of Physics Bhubaneswar,ind,284,1994,2024,"40,407","7,133",40,25.9087,13,348,41,"2,239",208,"5,885",3.7706,"6,484",1.1001,253,14.91%,"39,033","8,383",45,28.8921,13,367,41,"2,362",208,"6,804",3.8261,"6,903",1.2144,266,0,0,5,Applied Physics,0.2746,Nanoscience & Nanotechnology,0.2711,Physics & Astronomy,0.4507,"1,011","1,010","304,738"
"Maiyalagan, T.",SRM Institute of Science and Technology,ind,251,2005,2024,"40,436","10,791",48,24.2616,5,331,32,"2,287",80,"3,211",3.7704,"10,211",1.0568,231,10.46%,"41,302","12,051",53,25.8556,5,359,32,"2,437",80,"3,553",3.8097,"11,012",1.0944,240,0,0,6,Energy,0.2400,Applied Physics,0.1480,Enabling & Strategic Technologies,0.4840,518,485,"313,936"
"Subba Rao, N.",Andhra University,ind,84,1984,2024,"40,708","3,492",34,24.7702,22,"1,340",63,"3,046",71,"3,191",3.7684,"2,223",1.5709,75,12.59%,"39,485","3,995",39,25.8369,22,"1,498",63,"3,477",71,"3,653",3.8229,"2,299",1.7377,77,0,0,3,Environmental Engineering,0.3214,Environmental Sciences,0.2500,Earth & Environmental Sciences,0.4881,149,148,"60,423"
"Wiwanitkit, Viroj",Chandigarh University,ind,"3,548",2000,2024,"40,741","4,711",23,21.3333,"1,376","2,425","1,441","2,800","3,528","4,697",3.7682,"4,422",1.0654,"1,200",27.19%,"30,848","6,470",28,23.8333,"1,376","3,123","1,441","3,560","3,528","6,442",3.8946,"5,685",1.1381,"1,377",0,0,3,Tropical Medicine,0.0169,General & Internal Medicine,0.0138,Clinical Medicine,0.8450,51,73,"36,822"
"Khan, Nafees",Aligarh Muslim University,ind,216,1990,2024,"40,938","11,104",52,23.9942,18,225,44,"1,126",160,"7,992",3.7667,"7,707",1.4408,188,14.33%,"35,848","12,962",58,25.9982,18,304,44,"1,431",160,"9,430",3.8514,"8,034",1.6134,193,0,0,6,Plant Biology & Botany,0.6250,Agronomy & Agriculture,0.0721,Biology,0.7548,433,503,"174,582"
"Vernon, Howard",Seth GS Medical College and KEM Hospital,ind,110,1982,2023,"41,224","5,872",32,17.9952,25,927,55,"4,270",74,"4,886",3.7645,"4,679",1.2550,97,6.53%,"45,461","6,282",34,18.8643,25,957,55,"4,401",74,"5,078",3.7805,"4,863",1.2918,99,1,38,5,Orthopedics,0.5872,Rehabilitation,0.0734,Clinical Medicine,0.8991,263,264,"83,175"
"Viswanathan, Balasubramanian",Indian Institute of Technology Madras,ind,419,1967,2024,"41,387","12,498",60,31.2548,14,172,55,722,245,"5,337",3.7634,"11,522",1.0847,339,4.66%,"47,572","13,109",62,31.8798,14,179,55,740,245,"5,615",3.7668,"11,916",1.1001,347,1,145,11,Physical Chemistry,0.2081,Inorganic & Nuclear Chemistry,0.1555,Chemistry,0.4522,167,140,"40,704"
"Gopalakrishnan, Jagannatha",Indian Institute of Science,ind,267,1967,2021,"41,601","9,620",45,23.3932,6,502,43,"1,566",145,"3,855",3.7618,"8,558",1.1241,245,6.00%,"46,826","10,234",47,23.8932,6,512,43,"1,634",145,"4,178",3.7717,"8,910",1.1486,250,0,0,1,Inorganic & Nuclear Chemistry,0.3109,Materials,0.2172,Chemistry,0.4195,289,246,"75,463"
"Abbasi, S. A.",Pondicherry University,ind,330,1969,2024,"41,737","9,298",48,30.7833,39,195,88,793,322,"9,273",3.7607,"7,841",1.1858,273,20.33%,"33,041","11,670",57,36.8667,39,219,88,"1,072",322,"11,628",3.8751,"8,193",1.4244,298,0,0,5,Environmental Sciences,0.2006,"Strategic, Defence & Security Studies",0.1641,Enabling & Strategic Technologies,0.4134,188,242,"115,291"
"Gupta, Munishwar Nath",Indian Institute of Technology Delhi,ind,302,1980,2024,"41,838","8,232",44,26.8083,8,309,49,"1,092",284,"7,886",3.7601,"6,327",1.3011,281,20.39%,"32,679","10,341",50,32.8333,8,386,49,"1,444",284,"9,825",3.8783,"6,673",1.5497,292,0,0,6,Biotechnology,0.4116,Biochemistry & Molecular Biology,0.1633,Enabling & Strategic Technologies,0.4626,83,110,"62,673"
"Rajshekhar, Vedantam","Christian Medical College, Vellore",ind,338,1988,2024,"41,909","6,703",41,26.0778,44,588,79,"1,741",247,"3,757",3.7596,"5,235",1.2804,286,12.94%,"42,858","7,699",44,26.9226,44,649,79,"2,011",247,"4,172",3.7983,"5,606",1.3733,292,0,0,4,Neurology & Neurosurgery,0.5888,Tropical Medicine,0.0533,Clinical Medicine,0.9615,"3,027","3,006","341,636"
"Mittal, Sanjay",Indian Institute of Technology Kanpur,ind,159,1991,2024,"42,114","6,054",41,26.4833,19,427,51,"2,091",139,"4,541",3.7580,"4,219",1.4349,141,21.52%,"36,628","7,714",45,29.4333,19,537,51,"2,515",139,"5,628",3.8451,"4,592",1.6799,145,0,0,0,Applied Mathematics,0.3734,Fluids & Plasmas,0.3481,Mathematics & Statistics,0.4177,89,94,"21,237"
"Das, Debapriya",Indian Institute of Technology Kharagpur,ind,190,1998,2024,"42,192","5,800",39,24.7833,8,965,13,"1,114",144,"4,982",3.7574,"4,832",1.2003,153,9.60%,"44,858","6,416",43,25.7000,8,"1,002",13,"1,156",144,"5,487",3.7846,"5,022",1.2776,162,0,0,5,Energy,0.7053,Artificial Intelligence & Image Processing,0.1105,Enabling & Strategic Technologies,0.7263,562,506,"313,936"
"Bhaumik, Asim",Indian Association for the Cultivation of Science,ind,497,1994,2024,"42,840","18,372",71,38.2481,1,15,25,"1,045",305,"11,296",3.7527,"15,018",1.2233,472,15.79%,"37,981","21,816",80,42.5088,1,18,25,"1,303",305,"13,693",3.8338,"15,937",1.3689,478,0,0,12,Organic Chemistry,0.3038,Physical Chemistry,0.1831,Chemistry,0.6700,766,812,"170,049"
"Patil, Nitin T.",Indian Institute of Science Education and Research Bhopal,ind,138,2000,2024,"42,941","6,556",44,23.2560,5,176,58,"4,136",131,"5,888",3.7521,"4,896",1.3391,131,15.01%,"37,645","7,714",50,26.5131,5,221,58,"4,737",131,"6,977",3.8367,"5,134",1.5025,134,0,0,3,Organic Chemistry,0.7826,General Chemistry,0.1304,Chemistry,0.9783,758,815,"170,049"
"John, T. Jacob","Christian Medical College, Vellore",ind,590,1966,2024,"43,109","6,788",38,21.9213,140,716,266,"2,097",484,"4,077",3.7509,"5,631",1.2055,411,11.76%,"40,504","7,693",41,24.8455,140,842,266,"2,431",484,"4,618",3.8152,"6,032",1.2754,436,0,0,6,Pediatrics,0.1763,General & Internal Medicine,0.1627,Clinical Medicine,0.6763,175,214,"73,885"
"Mittal, Sparsh",Indian Institute of Technology Roorkee,ind,126,2009,2024,"43,164","3,810",27,21.5667,28,"1,919",65,"3,251",91,"3,484",3.7505,"3,479",1.0951,106,13.31%,"40,706","4,395",29,24.7667,28,"2,137",65,"3,710",91,"4,008",3.8138,"3,621",1.2138,111,0,0,1,Computer Hardware & Architecture,0.3790,Distributed Computing,0.1532,Information & Communication Technologies,0.8145,27,31,"19,115"
"Singh, A. K.","ICAR - Research Complex for Eastern Region, Patna",ind,590,1974,2024,"43,469","11,607",47,25.5234,18,176,198,"2,099",330,"4,425",3.7484,"11,180",1.0382,479,14.84%,"44,385","13,630",51,26.7893,18,183,198,"2,374",330,"4,972",3.7879,"12,711",1.0723,503,1,2,15,Agronomy & Agriculture,0.1678,Plant Biology & Botany,0.1051,"Agriculture, Fisheries & Forestry",0.1949,192,186,"81,496"
"Husain, Qayyum",Aligarh Muslim University,ind,137,1985,2023,"43,506","5,241",36,25.0000,11,945,23,"1,406",107,"4,579",3.7481,"4,085",1.2830,129,18.21%,"36,501","6,408",44,28.7500,11,"1,074",23,"1,664",107,"5,558",3.8461,"4,252",1.5071,132,0,0,7,Biotechnology,0.3704,Environmental Sciences,0.0889,Enabling & Strategic Technologies,0.4519,95,115,"62,673"
